Na,Mg,Al,P,S,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd,Cs,Ba
60.7,1.66,92.8,7.83,7.78,29.9,1.18,125,107,15,100,45,4249,20.3,103,21,140,2.65,0.36,393,21.4,10.4,0.657
54.3,1.55,21.4,6.66,4.16,28.3,1.36,31,32.8,15.3,45.5,26.8,706,19.7,61.7,7.49,94.2,5.62,0.224,838,12.4,5.52,0.216
94.7,1.47,115,5.97,4.9,26.6,1.23,154,146,10.4,99.5,43.2,851,13.4,77.5,17.2,66.2,19.6,0.481,268,139,23.9,0.802
31.7,1.66,12.5,6.78,4.51,27.9,1.36,24.2,31.8,14.5,46,44.1,1359,14.1,67.1,2.53,165,9.78,0.266,381,10.9,2.84,0.341
70,0.81,21.5,3.53,3.22,23.9,1.4,45.1,59.2,25.1,38,86.9,3672,11,35.9,4.82,101,9.95,1.88,56.9,11,10.9,1.05
81.8,1.45,10.8,5.57,5.08,29.5,1.32,18.9,56.6,12,36.9,19.5,5266,12.3,54.8,1.23,251,14.9,0.483,222,8.61,8.04,0.261
72.4,1.72,6.14,6.47,5.81,31,1.53,7.8,36.7,17.7,48.1,20.8,1465,18.6,83.9,1.41,1790,14.8,0.373,802,11.1,6.93,0.511
79.3,1.27,41.9,5.13,4.3,27.6,1.28,68.4,80.3,24.9,70.6,45.7,2531,12,58,7.71,144,6.98,0.573,301,60.8,10.02,0.566
62.8,1.9,17.5,7.51,5.96,32.3,1.84,30.2,45.9,19.2,62.2,33.9,3371,17.3,76.2,3.42,128,3.78,0.425,1079,12.4,4.6,0.2
87.1,1.6,63.2,6.58,5.35,28.5,1.17,141,177,15.1,88.1,59.8,2007,17.6,80.5,26.9,34.1,23.3,0.222,548,31,16.5,0.259
96.4,1.39,13,6.08,5.33,29.5,2.04,19.8,26.3,19.4,38.6,34.5,2046,17.1,57.7,1.1,162,14.1,0.911,541,10,12.1,0.654
85.2,1.46,114,6.32,5.37,29.3,1.09,177,158,15.7,107,92.2,1130,14.3,78.1,20.2,29.4,17.4,0.192,540,402,22.9,0.638
53.2,1.49,117,6.62,5.58,28.4,0.904,168,134,14.8,114,69,884,15.6,72,19.5,70.9,4.08,0.387,797,156,10.5,0.799
94,1.84,85.4,8.04,7.83,35.7,2.87,143,190,22.5,92.6,126,7367,21.1,71.1,19.2,316,5.24,2.06,606,9.64,9.26,0.953
45.2,1.43,1.24,5.67,4.11,29.2,1.59,2.98,1.53,11,42.4,24,5837,13.1,57.2,0.853,596,4.3,0.531,375,4.9,1.11,0.267
71.7,1.49,27.7,6.93,6.89,31.6,2.33,42.2,66.9,22.5,48.9,27,1874,14.6,59.5,8.19,79,13.3,0.947,467,28.9,5.25,1.19
29.5,1.8,8.51,6.56,7.27,30.3,1.47,12.4,11.9,21,58.3,26.7,665,15.6,74.2,1.99,41.8,1.81,0.487,731,41.7,0.99,0.351
95.4,1.66,8.72,6.8,7.26,35.1,1.6,11.2,13.9,35.9,42.2,70,7827,13.2,66.9,2.04,55.8,27.6,1.71,103,95.6,29.5,1.74
122,1.75,26,7.28,7.83,31.2,2.46,40.7,45.1,22.8,64.4,39.9,2233,17.9,83.6,10.9,249,27.5,1.15,1091,55.8,85.1,0.844
61.4,1.82,16.5,7.97,6.36,31.7,2.15,20.9,41.8,27.8,63.1,28.1,2282,19.6,81.8,3.58,37.7,2.81,1.46,405,91,3.43,1.17
101,2.09,188,8.85,8.54,33.8,1.49,55.1,133,25.1,69.3,35.1,4062,15.5,81.4,68.1,35,24.9,2.05,617,77.8,32.7,0.326
57.7,1.96,89.1,7.44,7.26,28.9,1.22,50.8,116,22.2,64.4,28.5,1082,14.4,70.3,27,221,8.63,0.905,569,15.7,7.16,0.431
103.852294,1.382235972,40.0553216,6.229202975,5.131336074,30.65309486,2.609206624,62.95425474,92.48047283,13.03218659,70.93096907,35.11751503,1058.484764,15.11599264,59.60134857,6.95624025,71.45375479,14.21265993,1.723341521,391.0483318,30.19551273,65.53832272,0.684539815
110.7413688,1.840662879,15.18871452,6.053075889,5.208904543,32.37996251,2.189494497,25.86206084,48.21356768,18.05916545,47.36761921,23.19159618,5059.933728,12.9575322,58.40377474,4.231388222,58.00300625,11.36829994,1.19821207,219.8691544,14.98005018,22.51069513,0.722735702
80.38451231,1.30107102,27.02339997,6.05177334,4.31342031,27.80912502,1.846112773,42.71158146,87.70481281,13.30383236,66.11539133,22.48305324,3708.410765,13.05793537,58.01324444,5.906491889,16.99715281,8.613569629,1.213644755,115.9327578,60.68592529,16.48855354,1.014164356
79.27232969,1.259178058,12.05117068,6.239992161,5.252248681,35.19345325,2.670651818,13.50946949,35.46761129,13.58983594,37.08780506,25.26773836,4168.238969,14.26559045,59.27520567,3.478498787,333.2708195,10.31557382,1.757431432,268.5287162,2.093054342,7.385857711,0.508335857
106.7141296,1.537142169,31.0499707,6.875863174,6.997969811,37.17166136,3.040029223,55.49583682,89.20618373,18.62435622,64.63711007,58.24751629,4111.546205,16.80768307,74.55302153,5.677118154,436.0773259,11.25177896,3.87428249,291.758678,4.153453969,8.789301735,1.129331437
66.88627172,1.323165389,43.76486606,5.249716131,4.201886748,30.50055724,1.684350848,74.7806734,104.7925095,23.37988062,60.69168176,37.41456907,2081.482177,9.376373621,53.81563089,10.94934201,80.13837998,5.765834251,0.727200109,258.8637034,63.47164783,6.939296221,0.684922583
50.6287262,1.673905803,39.44273896,6.232828329,5.457222859,32.08864408,1.598364989,43.29230403,80.86685341,15.65073985,65.65452945,23.91754329,2675.441103,15.6893893,74.16502774,9.34661628,143.1511373,1.503522276,0.299782089,396.174287,28.10163415,6.22198888,0.323468232
53.50027525,2.044923492,10.03291138,7.719058651,8.07279607,33.33236561,1.910253951,12.17152108,13.19978067,15.43869958,63.72309133,25.5265724,807.3432087,16.6239189,75.9827985,4.833107753,36.58490625,3.304698204,0.230191296,622.1791,78.28248021,1.239068269,0.121340153
50.25222978,1.668394918,23.00576151,6.297579386,5.536530862,33.20966445,2.316635553,32.19711861,42.12450558,16.98272808,51.38129189,16.9419633,1103.524121,12.92076882,51.88673341,4.414831911,31.83743147,12.32868133,0.875021711,386.6406279,37.88051745,4.223540217,1.247382737
94.36708139,1.791194893,10.08169842,6.604442417,5.487973075,34.14698936,1.988906896,10.88891445,124.7244787,13.5111561,64.84186003,18.56193799,635.5294737,16.67783093,66.16882049,0.688944843,19.60192356,19.9710957,0.977160762,304.3980622,204.682139,10.21344811,0.561912983
36.92722482,1.777384116,4.248678793,6.221145411,4.420141024,29.8298004,2.234366216,4.470681792,66.19414723,16.43773937,37.65763234,22.66528092,776.1768486,18.02655593,55.78516302,2.024709812,76.04595358,6.398404303,0.452174471,1434.612949,14.83282213,5.500493962,0.230310769
74.9043424,1.754949396,12.48854175,7.440316463,5.667597133,34.66813153,2.641145078,9.546188731,24.66263037,20.46489833,39.61258892,39.32756413,2090.213905,20.62432719,60.96250475,2.47231728,103.9153855,11.56096367,0.602199909,593.4945599,10.06074592,6.340586884,0.460009732
53.54055302,1.869936605,7.393801589,6.810040633,5.962297811,31.33206435,1.660745945,1.75,41.85113458,16.97616901,46.33419352,14.98736672,1590.984801,14.46553302,64.62998535,1.302079846,75.43826513,8.070374646,0.208304505,255.6938273,27.71486338,2.736674443,0.202833736
92.67476295,1.760478725,1.6,6.953215572,5.71654025,33.40283601,2.184230768,1.75,3.406871028,14.94342711,37.43382715,11.77386345,5280.987421,15.87081394,64.75129255,0.85,219.5711198,18.71624161,0.659850461,290.587407,8.520088104,13.04631736,0.132838254
67.53735563,1.754526038,4.83792694,7.240883982,5.437507311,36.41786093,1.767315342,2.467620818,48.22655587,15.03593103,51.41116327,49.40807602,6396.073682,16.30581347,73.82510491,2.012449625,470.6643471,4.181920626,0.371464537,673.1900929,6.36696856,1.21103291,0.181930352
64.11465918,1.785026451,14.06311861,6.391014701,5.324088532,33.97064424,2.164017053,16.6555999,39.73932192,16.68147509,54.10744584,21.76681998,3703.801322,18.02462239,64.28853517,5.415714701,67.44740302,12.305923,1.071095761,595.1136928,58.46441001,22.48076364,0.762895027
112.1107276,1.40147221,40.90153234,6.859381474,5.41255591,36.67576422,2.45866939,40.04864793,102.1836129,16.00556696,63.91675657,111.9865073,2630.844327,15.79675112,66.82439299,11.00751262,225.4228482,12.59467175,1.165206925,282.4639307,7.756757285,14.65964888,0.557559796
155.4649722,1.576055328,49.55373615,6.241720318,6.49232877,28.28159727,2.94472547,80.96300739,93.05027299,15.86898256,77.00503956,33.18103273,4589.17763,16.67618507,60.55676931,14.45137878,379.0489992,55.84498111,2.750824227,397.4070155,14.89430952,181.6383743,1.192808367
53.60611931,1.540716217,53.57690725,5.422280866,4.153718942,35.2549561,1.77049454,83.71163597,107.4137207,16.60136151,74.22114128,41.86581921,2086.644977,11.58816749,51.3370055,5.279002703,43.37117489,3.918336296,0.786541921,691.9331652,6.104577025,9.260722517,0.300295549
62.08461286,2.180606798,47.43729036,7.039649172,5.39244771,36.43956053,1.459291195,81.68354056,117.7560598,18.76285296,81.25252088,51.78620511,1317.05427,13.79819632,76.63773915,14.80047535,69.46823779,25.76262754,0.030122305,337.7670965,30.28994313,9.589812606,0.311518319
69.62700236,1.784956837,101.6660076,6.724976198,6.172492182,34.22782743,1.911142807,141.7644793,166.6260825,17.17843671,96.85326962,39.94935198,2743.283924,14.17567457,70.30063261,19.22772646,55.76418496,11.09152634,0.196265286,751.6665286,47.89956747,15.86063407,0.778564993
49.54946693,2.249693787,13.0338944,7.348182999,5.497378408,38.91826217,2.029114216,11.0600339,36.73400647,17.92682685,53.41458588,48.17513685,1328.684675,18.2482924,70.83254219,2.901228985,102.4443177,10.53575946,0.342157463,453.092408,44.0032645,3.397635353,0.247904048
181.8933951,1.627295327,62.4090731,6.891081529,5.72453728,35.59974224,3.087851129,91.7450897,142.1424417,21.11988998,77.31797848,70.79120281,5677.770256,14.34376259,64.03346575,50.95523364,344.0042022,6.386849164,1.983712939,339.578811,24.76625589,12.33976467,0.996881699
62.93971388,1.584883218,110.4214814,6.237119405,5.013000217,34.21374917,2.519564486,149.573071,164.9145481,14.30832208,110.4446085,48.82683044,855.5864568,14.93703224,61.77557553,21.92385145,164.173957,5.38379016,1.123290938,419.2455639,20.35228851,14.86941043,1.595693824
73.66429077,1.688766079,21.6302975,6.120120326,5.697620057,32.11848996,1.094582889,25.11502622,38.5518598,15.03390447,58.39859228,28.98242007,677.4362928,15.48461418,65.72190373,3.893711542,57.81721254,7.715475082,0.207913544,710.8207194,96.76279646,7.383459217,0.216919197
33.47704003,1.836528724,18.0918262,7.003686598,4.831611165,35.91005866,1.165699035,14.27939683,94.83782457,12.02988346,49.72912415,15.42226983,567.9334688,10.34951183,59.42969275,6.900923253,57.84759347,2.486013205,0.183010078,797.1453984,64.33894951,2.166725588,0.158939847
243.8628273,1.855446868,11.24494107,5.476200657,4.774856085,38.64620242,1.510242627,9.766439405,51.90024887,16.86510866,43.21009115,48.22548211,1868.788918,13.05887733,52.99728222,5.684143185,36.72139839,10.95152141,0.961447573,577.0881979,22.4290023,7.738933095,0.406083711
94.56534965,1.577953207,666.475173,4.6777021,3.411562901,28.40628549,1.249385426,1146.305958,1148.740353,27.34938488,414.8552788,301.6828074,1345.757658,11.28894271,56.9487732,149.3185723,26.80597129,14.17576621,1.146063381,342.834126,201.4556238,67.77889955,3.553147949
107.5162661,1.860131519,31.07457723,7.400077095,6.626583987,41.04058793,3.289740489,38.02175195,147.5467879,21.80464467,68.55865873,44.52329596,4073.500516,16.39554106,59.6526497,19.82152345,697.080742,6.588041128,3.125949005,721.0154507,88.09769782,11.47689127,0.588242234
62.80575628,1.881373671,32.6257025,6.643700962,5.310680206,33.6203832,2.190772332,39.50038695,131.8749346,18.20871375,52.55716105,29.15462665,1110.76964,14.12917771,59.17321399,11.44106467,127.8905003,8.75355337,0.41672293,722.3237031,20.30498681,7.179773543,0.37569216
